Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/20  07:00:00,228898584.32226706,228898584.32226804,237462613.75647244,27613896.938352972,120284500.51693058 
 01/20  08:00:00,248568568.940104,248568568.94010502,280874066.60166025,26284081.875110786,146293383.9335011 
 01/20  09:00:00,257716266.20086172,257716266.20086277,275838619.71720153,18466671.234855436,149227177.34515285 
 01/20  10:00:00,249230157.0169435,249230157.0169446,261372980.84219742,15807040.873338813,139867388.97765952 
 01/20  11:00:00,159558957.23119622,159558957.23119724,217291616.2149076,15807040.873338813,128503692.2426721 
 01/20  12:00:00,222085575.19133073,222085575.19133165,169717365.28263342,15807040.873338813,130177723.87517832 
 01/20  13:00:00,285074190.8181546,285074190.8181555,155210076.00751993,15590730.651414875,128385990.86668785 
 01/20  14:00:00,323366953.8784425,323366953.8784434,141322086.39257708,15807040.873338813,123481597.34515285 
 01/20  15:00:00,347128769.5213697,347128769.5213705,111253548.895121,15807040.873338813,121807565.71264665 
 01/20  16:00:00,355451047.57106036,355451047.5710613,141233553.02899814,19796486.53312959,126829660.61016576 
 01/20  17:00:00,401866558.6292641,401866558.62926507,145079771.99510556,29105192.44588942,161629800.20024115 
 01/20  18:00:00,401688098.9781709,401688098.97816765,217400315.12912732,35592787.787870474,204884491.0712216 
 01/20  19:00:00,443662555.2224295,443662555.2224258,237187224.41800505,44901493.93566237,204645835.6122203 
 01/20  20:00:00,355641749.06910074,355641749.06910074,251600699.37046233,51550569.72193773,185571734.18467608 
 01/20  21:00:00,353526844.0119619,353526844.01196265,218718569.09132493,51550569.72193773,178875607.65465096 
 01/20  22:00:00,282871896.62947005,282871896.629471,169562382.7304219,38252418.149386905,164823601.124626 
 01/20  23:00:00,285183246.08385503,285183246.083856,153240422.4268314,24954266.576836366,134031278.26953766 
 01/20  24:00:00,291576328.5145406,291576328.51454175,81365437.79113512,15645560.66407668,104912987.04695597 
 01/21  01:00:00,231178191.94389468,231178191.94389576,29404584.0,11656115.239317864,79472635.82437395 
 01/21  02:00:00,205920195.6114173,205920195.6114183,29404584.0,11656115.239317864,72776509.29434878 
 01/21  03:00:00,191234095.22764543,191234095.22764644,29404584.0,11656115.239317864,69428446.02933633 
 01/21  04:00:00,178095708.756979,178095708.75698003,29404584.0,11656115.239317864,67754414.39683005 
 01/21  05:00:00,181749701.8210079,181749701.8210089,29404584.0,16975375.727318894,71432354.39683005 
 01/21  06:00:00,207811661.34611863,207811661.3461196,29404584.0,26284081.875110786,87158392.55936149 
 01/21  07:00:00,247736899.49540272,247736899.4954037,237540574.3975039,27613896.938352972,120284500.51693058 
 01/21  08:00:00,261341448.40783972,261341448.40784073,280967801.92487496,26284081.875110786,146054728.47449982 
 01/21  09:00:00,256235405.23547405,256235405.23547512,275931402.3350819,16975375.727318894,147728760.107006 
 01/21  10:00:00,167847357.66689187,167847357.66689286,261441531.09540418,14315745.365802372,138368971.73951268 
 01/21  11:00:00,156542023.88292187,156542023.88292286,220561287.76478308,14315745.365802372,127005275.00452524 
 01/21  12:00:00,158246449.21108654,158246449.21108755,175303317.288315,14315745.365802372,128679306.63703147 
 01/21  13:00:00,268841521.7848858,268841521.7848868,146946501.38622373,14315745.365802372,127005275.00452524 
 01/21  14:00:00,181855250.97422367,181855250.9742247,141340747.443824,14315745.365802372,121983180.10700601 
 01/21  15:00:00,178522341.70862764,178522341.70862865,111293223.97833271,14315745.365802372,120309148.4744998 
 01/21  16:00:00,158827664.8776911,158827664.8776921,141251463.6788684,18305191.025593143,125331243.3720189 
 01/21  17:00:00,203332689.78644186,203332689.78644288,145111929.78747597,27613896.938352972,160131382.9620943 
 01/21  18:00:00,263433386.94838783,263433386.94838881,217429626.79146057,35592787.787870474,204645835.6122203 
 01/21  19:00:00,293004098.9391485,293004098.93914944,244344032.86679187,44901493.93566237,204645835.6122203 
 01/21  20:00:00,280250947.3161406,280250947.31614155,244673526.38496056,51550569.72193773,185571734.18467608 
 01/21  21:00:00,273382144.94252187,273382144.9425229,219652355.43324232,51550569.72193773,178875607.65465096 
 01/21  22:00:00,245868529.9417772,245868529.94177815,178135315.22318962,38252418.149386905,164823601.124626 
 01/21  23:00:00,225902880.27017817,225902880.2701791,144203178.52189618,24954266.576836366,134031278.26953766 
 01/21  24:00:00,195170987.84354663,195170987.8435476,81465293.51860851,15645560.66407668,104912987.04695597 
 01/22  01:00:00,154442152.22142377,154442152.2214247,29404584.0,11656115.239317864,79472635.82437395 
 01/22  02:00:00,145068241.60669616,145068241.60669714,29404584.0,11656115.239317864,72776509.29434878 
 01/22  03:00:00,138171695.24309155,138171695.24309257,29404584.0,11656115.239317864,69428446.02933633 
 01/22  04:00:00,134705461.23666435,134705461.23666534,29404584.0,11656115.239317864,67754414.39683005 
 01/22  05:00:00,144193188.18935102,144193188.1893521,29404584.0,16975375.727318894,71432354.39683005 
 01/22  06:00:00,170195072.98772797,170195072.987729,29404584.0,26284081.875110786,87158392.55936149 
 01/22  07:00:00,214807054.988011,214807054.98801202,237607869.11405116,27613896.938352972,120284500.51693058 
 01/22  08:00:00,225894908.73439023,225894908.73439118,281064132.6882074,26284081.875110786,146054728.47449982 
 01/22  09:00:00,203416410.57432687,203416410.5743279,276022595.1116817,16975375.727318894,147728760.107006 
 01/22  10:00:00,195534853.5110948,195534853.5110958,261509631.28228164,14315745.365802372,138368971.73951268 
 01/22  11:00:00,201036503.37937486,201036503.37937593,220614982.65685815,14315745.365802372,127005275.00452524 
 01/22  12:00:00,206032430.61627057,206032430.61627164,178171607.89827204,14315745.365802372,128679306.63703147 
 01/22  13:00:00,156542023.88292187,156542023.88292286,144228467.62592375,14315745.365802372,127005275.00452524 
 01/22  14:00:00,151431979.206544,151431979.206545,141360030.75410682,14315745.365802372,121983180.10700601 
 01/22  15:00:00,149729694.22228795,149729694.22228897,111322884.0387223,14315745.365802372,120309148.4744998 
 01/22  16:00:00,158827664.8776911,158827664.8776921,141269605.8101628,18305191.025593143,125331243.3720189 
 01/22  17:00:00,203332689.78644186,203332689.78644288,145147864.50341663,27613896.938352972,160131382.9620943 
 01/22  18:00:00,263433386.94838783,263433386.94838881,217476026.64492026,35592787.787870474,204645835.6122203 
 01/22  19:00:00,293004098.9391485,293004098.93914944,253562703.44704252,44901493.93566237,204645835.6122203 
 01/22  20:00:00,280250947.3161406,280250947.31614155,235735180.67796975,51550569.72193773,185571734.18467608 
 01/22  21:00:00,294691742.5032861,294691742.5032872,219705209.40214586,51550569.72193773,178875607.65465096 
 01/22  22:00:00,294213499.1561593,294213499.15616024,178155423.4404874,38252418.149386905,164823601.124626 
 01/22  23:00:00,238031925.74460128,238031925.74460226,144237278.4436272,24954266.576836366,134031278.26953766 
 01/22  24:00:00,186974362.07543445,186974362.0754354,81670543.78616798,15645560.66407668,104912987.04695597 
 01/23  01:00:00,149280382.00276208,149280382.0027631,29404584.0,11656115.239317864,79472635.82437395 
 01/23  02:00:00,139733677.12426838,139733677.12426937,29404584.0,11656115.239317864,72776509.29434878 
 01/23  03:00:00,134690964.45944124,134690964.45944223,29404584.0,11656115.239317864,69428446.02933633 
 01/23  04:00:00,131483620.24737847,131483620.24737945,29404584.0,11656115.239317864,67754414.39683005 
 01/23  05:00:00,139272120.73526913,139272120.7352701,29404584.0,16975375.727318894,71432354.39683005 
 01/23  06:00:00,165943240.66585764,165943240.66585857,29404584.0,26284081.875110786,87158392.55936149 
 01/23  07:00:00,205941586.82321447,205941586.82321548,237678102.3106229,27613896.938352972,120284500.51693058 
 01/23  08:00:00,212425354.87922668,212425354.87922767,283512856.97813445,26284081.875110786,146293383.9335011 
 01/23  09:00:00,204020950.01214263,204020950.0121436,277673922.5214537,18466671.234855436,149227177.34515285 
 01/23  10:00:00,200154406.32621467,200154406.32621574,257909728.66686893,15807040.873338813,139867388.97765952 
 01/23  11:00:00,198553911.25144055,198553911.2514416,220667380.88438702,15807040.873338813,128503692.2426721 
 01/23  12:00:00,210951726.30879724,210951726.30879825,178190306.41746253,15807040.873338813,130177723.87517832 
 01/23  13:00:00,225042071.04039347,225042071.04039437,144259983.44559026,15590730.651414875,128385990.86668785 
 01/23  14:00:00,215587924.41115123,215587924.41115224,141379361.88008493,15807040.873338813,123481597.34515285 
 01/23  15:00:00,152050692.25367457,152050692.25367555,111334919.16860637,15807040.873338813,121807565.71264665 
 01/23  16:00:00,161844114.43730605,161844114.43730706,141287604.34006873,19796486.53312959,126829660.61016576 
 01/23  17:00:00,206355239.49850705,206355239.49850804,145185380.74753928,29105192.44588942,161629800.20024115 
 01/23  18:00:00,263679081.8229044,263679081.82290542,217520385.64007136,35592787.787870474,204884491.0712216 
 01/23  19:00:00,293004098.9391485,293004098.93914944,263353815.85813302,44901493.93566237,204645835.6122203 
 01/23  20:00:00,361407094.75479215,361407094.75479263,226259152.20356965,51550569.72193773,185571734.18467608 
 01/23  21:00:00,341192134.4918492,341192134.4918502,219759982.23829696,51550569.72193773,178875607.65465096 
 01/23  22:00:00,307011664.362357,307011664.3623581,178184083.6864071,38252418.149386905,164823601.124626 
 01/23  23:00:00,251025754.37998092,251025754.37998194,144273184.2667034,24954266.576836366,134031278.26953766 
 01/23  24:00:00,198273485.94774383,198273485.9477448,81635539.22851703,15645560.66407668,104912987.04695597 
 01/24  01:00:00,156240583.34038484,156240583.34038585,29404584.0,11656115.239317864,79472635.82437395 
 01/24  02:00:00,145794369.84708428,145794369.8470853,29404584.0,11656115.239317864,72776509.29434878 
 01/24  03:00:00,139678815.13812995,139678815.1381309,29404584.0,11656115.239317864,69428446.02933633 
 01/24  04:00:00,135968687.66857642,135968687.66857743,29404584.0,11656115.239317864,67754414.39683005 
 01/24  05:00:00,144255609.19500014,144255609.19500113,29404584.0,16975375.727318894,71432354.39683005 
 01/24  06:00:00,170470862.40235662,170470862.40235758,29404584.0,26284081.875110786,87158392.55936149 
 01/24  07:00:00,207665710.57718706,207665710.57718807,237749440.1413146,27613896.938352972,120284500.51693058 
 01/24  08:00:00,219921526.0332184,219921526.0332194,291189155.7482749,26284081.875110786,146293383.9335011 
 01/24  09:00:00,222724688.96769345,222724688.9676944,278086943.5161243,18466671.234855436,149227177.34515285 
 01/24  10:00:00,228274084.48574582,228274084.4857467,250626149.36101764,15807040.873338813,139867388.97765952 
 01/24  11:00:00,228866370.51825887,228866370.51825997,220717796.53379124,15807040.873338813,128503692.2426721 
 01/24  12:00:00,161263871.45437017,161263871.45437115,178219189.43817556,15807040.873338813,130177723.87517832 
 01/24  13:00:00,158528772.97365025,158528772.97365123,144291410.2161529,15590730.651414875,128385990.86668785 
 01/24  14:00:00,154447467.15970892,154447467.1597099,141398041.1910334,15807040.873338813,123481597.34515285 
 01/24  15:00:00,260535273.8265941,260535273.82659513,111353859.85300827,15807040.873338813,121807565.71264665 
 01/24  16:00:00,161844114.43730605,161844114.43730706,141305060.10205665,19796486.53312959,126829660.61016576 
 01/24  17:00:00,253784492.34719494,253784492.34719595,160557115.65345424,29105192.44588942,161629800.20024115 
 01/24  18:00:00,263679081.8229044,263679081.82290542,201010863.46510947,35592787.787870474,204884491.0712216 
 01/24  19:00:00,293004098.9391485,293004098.93914944,263411512.91766626,44901493.93566237,204645835.6122203 
 01/24  20:00:00,280250947.3161406,280250947.31614155,226306649.18696243,51550569.72193773,185571734.18467608 
 01/24  21:00:00,295253142.9654666,295253142.96546763,219821393.28371087,51550569.72193773,178875607.65465096 
 01/24  22:00:00,299834958.67195356,299834958.6719546,178202258.35429707,38252418.149386905,164823601.124626 
 01/24  23:00:00,247585132.09904322,247585132.09904423,144318428.97928482,24954266.576836366,134031278.26953766 
 01/24  24:00:00,197038449.14662743,197038449.14662844,81579427.84090245,15645560.66407668,104912987.04695597 
 01/25  01:00:00,157623081.54599592,157623081.54599687,29404584.0,11656115.239317864,79472635.82437395 
 01/25  02:00:00,147076166.70739272,147076166.7073937,29404584.0,11656115.239317864,72776509.29434878 
 01/25  03:00:00,140005125.29289165,140005125.2928926,29404584.0,11656115.239317864,69428446.02933633 
 01/25  04:00:00,135617160.8125893,135617160.81259024,29404584.0,11656115.239317864,67754414.39683005 
 01/25  05:00:00,145892100.05565235,145892100.05565333,29404584.0,16975375.727318894,71432354.39683005 
 01/25  06:00:00,171950425.61157322,171950425.61157417,29404584.0,26284081.875110786,87158392.55936149 
 01/25  07:00:00,211289633.94616637,211289633.94616738,238285387.64633057,27613896.938352972,120284500.51693058 
 01/25  08:00:00,223322354.47821575,223322354.4782168,301370634.6920069,26284081.875110786,146293383.9335011 
 01/25  09:00:00,219072467.97147766,219072467.9714787,278465598.251585,18466671.234855436,149227177.34515285 
 01/25  10:00:00,220905653.8874532,220905653.88745418,240638314.69186455,15807040.873338813,139867388.97765952 
 01/25  11:00:00,241930394.16900954,241930394.16901052,220767281.67911354,15807040.873338813,128503692.2426721 
 01/25  12:00:00,248296595.89725488,248296595.8972559,178240575.14445904,15807040.873338813,130177723.87517832 
 01/25  13:00:00,158528772.97365025,158528772.97365123,144327564.67323014,15590730.651414875,128385990.86668785 
 01/25  14:00:00,154447467.15970892,154447467.1597099,141417471.3040462,15807040.873338813,123481597.34515285 
 01/25  15:00:00,152050692.25367457,152050692.25367555,111370058.82243565,15807040.873338813,121807565.71264665 
 01/25  16:00:00,161844114.43730605,161844114.43730706,141324431.8206976,19796486.53312959,126829660.61016576 
 01/25  17:00:00,206355239.49850705,206355239.49850804,174192655.2796015,29105192.44588942,161629800.20024115 
 01/25  18:00:00,263679081.8229044,263679081.82290542,188390063.6051327,35592787.787870474,204884491.0712216 
 01/25  19:00:00,322127615.46149987,322127615.46149963,261294962.67745873,44901493.93566237,204645835.6122203 
 01/25  20:00:00,357018039.64493465,357018039.6449356,226363846.73116866,51550569.72193773,185571734.18467608 
 01/25  21:00:00,341603796.04649484,341603796.0464958,219889511.4844946,51550569.72193773,178875607.65465096 
 01/25  22:00:00,303992193.8483234,303992193.84832436,178231829.1755929,38252418.149386905,164823601.124626 
 01/25  23:00:00,248608219.45113954,248608219.4511405,146781811.87793034,24954266.576836366,134031278.26953766 
 01/25  24:00:00,196320613.44918394,196320613.44918495,105459502.92370556,15645560.66407668,104912987.04695597 
 01/26  01:00:00,156449276.43277597,156449276.432777,29404584.0,11656115.239317864,79472635.82437395 
 01/26  02:00:00,145621408.38909626,145621408.3890972,29404584.0,11656115.239317864,72776509.29434878 
 01/26  03:00:00,139495909.60330224,139495909.60330322,29404584.0,11656115.239317864,69428446.02933633 
 01/26  04:00:00,134960147.44591048,134960147.44591147,29404584.0,11656115.239317864,67754414.39683005 
 01/26  05:00:00,142201491.9527433,142201491.95274433,29404584.0,16975375.727318894,71432354.39683005 
 01/26  06:00:00,166826371.7124446,166826371.71244556,29404584.0,26284081.875110786,87158392.55936149 
 01/26  07:00:00,202581177.4169752,202581177.4169762,237841200.6349964,27613896.938352972,120284500.51693058 
 01/26  08:00:00,214745935.49809742,214745935.49809843,281416808.71943456,26284081.875110786,146293383.9335011 
 01/26  09:00:00,218545534.02343845,218545534.02343947,276335239.8236641,18466671.234855436,149227177.34515285 
 01/26  10:00:00,227360307.84713423,227360307.8471352,252820289.34381977,15807040.873338813,139867388.97765952 
 01/26  11:00:00,240672412.14182577,240672412.14182675,217186248.23533404,15807040.873338813,128503692.2426721 
 01/26  12:00:00,257294656.87940633,257294656.87940744,172532990.84112722,15807040.873338813,130177723.87517832 
 01/26  13:00:00,211748635.6163185,211748635.61631948,160888196.4564736,15590730.651414875,128385990.86668785 
 01/26  14:00:00,154447467.15970892,154447467.1597099,141407109.95341173,15807040.873338813,123481597.34515285 
 01/26  15:00:00,152050692.25367457,152050692.25367555,111309653.9658291,15807040.873338813,121807565.71264665 
 01/26  16:00:00,236228295.88652384,236228295.8865249,141319947.02343082,19796486.53312959,126829660.61016576 
 01/26  17:00:00,206355239.49850705,206355239.49850804,145195927.2490605,29105192.44588942,161629800.20024115 
 01/26  18:00:00,263679081.8229044,263679081.82290542,217634805.58524567,35592787.787870474,204884491.0712216 
 01/26  19:00:00,338067440.96679735,338067440.96679634,246930844.4292422,44901493.93566237,204645835.6122203 
 01/26  20:00:00,357345417.7217108,357345417.72171164,242699837.8736077,51550569.72193773,185571734.18467608 
 01/26  21:00:00,338781191.3639159,338781191.3639169,219871844.2243163,51550569.72193773,178875607.65465096 
 01/26  22:00:00,300423546.62317157,300423546.6231726,178258506.62029296,38252418.149386905,164823601.124626 
 01/26  23:00:00,245197490.76030117,245197490.76030216,144299227.84602463,24954266.576836366,134031278.26953766 
 01/26  24:00:00,197753678.97213024,197753678.97213122,81688968.89597417,15645560.66407668,104912987.04695597 
 01/27  01:00:00,157717559.38548198,157717559.38548297,29404584.0,11656115.239317864,79472635.82437395 
 01/27  02:00:00,144914779.93672886,144914779.93672985,29404584.0,11656115.239317864,72776509.29434878 
 01/27  03:00:00,141007238.89826074,141007238.89826173,29404584.0,11656115.239317864,69428446.02933633 
 01/27  04:00:00,135936789.99065256,135936789.9906535,29404584.0,11656115.239317864,67754414.39683005 
 01/27  05:00:00,142170922.2344712,142170922.23447216,29404584.0,16975375.727318894,71432354.39683005 
 01/27  06:00:00,166983674.32065657,166983674.32065752,29404584.0,26284081.875110786,87158392.55936149 
 01/27  07:00:00,203309309.12321848,203309309.1232195,237918563.81670094,27613896.938352972,120284500.51693058 
 01/27  08:00:00,216847455.87235588,216847455.87235686,286481814.5896151,26284081.875110786,146293383.9335011 
 01/27  09:00:00,217071433.56068167,217071433.56068262,279121913.4156363,18466671.234855436,149227177.34515285 
 01/27  10:00:00,221338945.0180264,221338945.01802748,254600693.36994627,15807040.873338813,139867388.97765952 
 01/27  11:00:00,228439773.16242558,228439773.16242665,220836747.77413058,15807040.873338813,128503692.2426721 
 01/27  12:00:00,241579828.99885076,241579828.99885178,178288679.97393388,15807040.873338813,130177723.87517832 
 01/27  13:00:00,243259923.49318156,243259923.4931826,144335784.4523773,15590730.651414875,128385990.86668785 
 01/27  14:00:00,246674242.91668618,246674242.91668725,141436608.20882207,15807040.873338813,123481597.34515285 
 01/27  15:00:00,180956209.68235964,180956209.6823607,111377301.21256492,15807040.873338813,121807565.71264665 
 01/27  16:00:00,161844114.43730605,161844114.43730706,141344189.19744098,19796486.53312959,126829660.61016576 
 01/27  17:00:00,206355239.49850705,206355239.49850804,164976426.49033034,29105192.44588942,161629800.20024115 
 01/27  18:00:00,263679081.8229044,263679081.82290542,196400762.46595705,35592787.787870474,204884491.0712216 
 01/27  19:00:00,347195594.553324,347195594.55332243,263587577.79322493,44901493.93566237,204645835.6122203 
 01/27  20:00:00,337458772.73875093,337458772.738752,226445996.0746387,51550569.72193773,185571734.18467608 
 01/27  21:00:00,321798309.89499986,321798309.89500105,219959151.47927803,51550569.72193773,178875607.65465096 
 01/27  22:00:00,289178021.4986571,289178021.49865806,178273717.46058595,38252418.149386905,164823601.124626 
 01/27  23:00:00,232254669.6781697,232254669.6781707,144380596.32602358,24954266.576836366,134031278.26953766 
 01/27  24:00:00,185043434.46122596,185043434.46122694,107643184.50124578,15645560.66407668,104912987.04695597 
 01/28  01:00:00,152753236.87655208,152753236.87655306,29404584.0,11656115.239317864,79472635.82437395 
 01/28  02:00:00,141112554.35124487,141112554.35124582,29404584.0,11656115.239317864,72776509.29434878 
 01/28  03:00:00,133149638.61257906,133149638.61258002,29404584.0,11656115.239317864,69428446.02933633 
 01/28  04:00:00,130260504.42152186,130260504.42152283,29404584.0,11656115.239317864,67754414.39683005 
 01/28  05:00:00,138819778.2074496,138819778.20745057,29404584.0,16975375.727318894,71432354.39683005 
 01/28  06:00:00,164291577.2336416,164291577.23364258,29404584.0,26284081.875110786,87158392.55936149 
 01/28  07:00:00,200576063.15498978,200576063.15499076,237947576.54028594,27613896.938352972,120284500.51693058 
 01/28  08:00:00,210443189.81212392,210443189.8121249,281560413.3012502,26284081.875110786,146054728.47449982 
 01/28  09:00:00,209947907.54711306,209947907.547114,276472081.887265,16975375.727318894,147728760.107006 
 01/28  10:00:00,217252505.39850873,217252505.3985097,249899266.32233208,14315745.365802372,138368971.73951268 
 01/28  11:00:00,229868358.3160595,229868358.3160605,217881415.22189593,14315745.365802372,127005275.00452524 
 01/28  12:00:00,241592386.10729107,241592386.10729215,173304054.34618574,14315745.365802372,128679306.63703147 
 01/28  13:00:00,161360658.4911276,161360658.49112856,162286069.45679826,14315745.365802372,127005275.00452524 
 01/28  14:00:00,151431979.206544,151431979.206545,141430324.17095962,14315745.365802372,121983180.10700601 
 01/28  15:00:00,149729694.22228795,149729694.22228897,111325356.5655685,14315745.365802372,120309148.4744998 
 01/28  16:00:00,227953997.17633504,227953997.17633605,141343567.6777589,18305191.025593143,125331243.3720189 
 01/28  17:00:00,203332689.78644186,203332689.78644288,145227811.81145728,27613896.938352972,160131382.9620943 
 01/28  18:00:00,263433386.94838783,263433386.94838881,217703729.7076804,35592787.787870474,204645835.6122203 
 01/28  19:00:00,318114493.50555056,318114493.5055504,249631662.84377772,44901493.93566237,204645835.6122203 
 01/28  20:00:00,344281632.5212823,344281632.5212833,240232317.92465764,51550569.72193773,185571734.18467608 
 01/28  21:00:00,333796231.9791832,333796231.97918427,219946485.69733495,51550569.72193773,178875607.65465096 
 01/28  22:00:00,297762504.55910134,297762504.55910224,178298321.08595508,38252418.149386905,164823601.124626 
 01/28  23:00:00,241298197.8216562,241298197.82165724,144334513.8041634,24954266.576836366,134031278.26953766 
 01/28  24:00:00,193565229.51240173,193565229.51240274,81678798.61612278,15645560.66407668,104912987.04695597 
 01/29  01:00:00,154123161.9158431,154123161.91584414,29404584.0,11656115.239317864,79472635.82437395 
 01/29  02:00:00,142068229.659679,142068229.65967992,29404584.0,11656115.239317864,72776509.29434878 
 01/29  03:00:00,136943936.6255269,136943936.62552792,29404584.0,11656115.239317864,69428446.02933633 
 01/29  04:00:00,133681944.6475457,133681944.64754668,29404584.0,11656115.239317864,67754414.39683005 
 01/29  05:00:00,141017307.59648615,141017307.5964871,29404584.0,16975375.727318894,71432354.39683005 
 01/29  06:00:00,166295473.2859737,166295473.28597465,29404584.0,26284081.875110786,87158392.55936149 
 01/29  07:00:00,202442651.84603092,202442651.84603187,238023748.3894444,27613896.938352972,120284500.51693058 
 01/29  08:00:00,213204658.9301178,213204658.93011874,290918729.6361441,26284081.875110786,146054728.47449982 
 01/29  09:00:00,210897664.0840727,210897664.08407372,279727202.6362604,16975375.727318894,147728760.107006 
 01/29  10:00:00,218900743.88656935,218900743.88657033,250269026.5737446,14315745.365802372,138368971.73951268 
 01/29  11:00:00,233312920.35218126,233312920.35218224,220910756.33303186,14315745.365802372,127005275.00452524 
 01/29  12:00:00,249800851.86052555,249800851.86052665,178331808.51581421,14315745.365802372,128679306.63703147 
 01/29  13:00:00,186337617.71885747,186337617.71885842,144373565.81575742,14315745.365802372,127005275.00452524 
 01/29  14:00:00,151431979.206544,151431979.206545,141462606.9907636,14315745.365802372,121983180.10700601 
 01/29  15:00:00,181004428.1571614,181004428.15716243,111391824.09447767,14315745.365802372,120309148.4744998 
 01/29  16:00:00,230081423.00134265,230081423.00134373,141370060.2529508,18305191.025593143,125331243.3720189 
 01/29  17:00:00,232787074.63075083,232787074.6307518,174268923.49674898,27613896.938352972,160131382.9620943 
 01/29  18:00:00,288474198.15659785,288474198.1565988,188257821.6610117,35592787.787870474,204645835.6122203 
 01/29  19:00:00,293004098.9391485,293004098.93914944,261771380.40116087,44901493.93566237,204645835.6122203 
 01/29  20:00:00,304652650.3300147,304652650.3300154,226536168.02163166,51550569.72193773,185571734.18467608 
 01/29  21:00:00,333702992.8619148,333702992.8619158,220036875.4569852,51550569.72193773,178875607.65465096 
 01/29  22:00:00,302565473.22430575,302565473.22430664,178326726.7281532,38252418.149386905,164823601.124626 
 01/29  23:00:00,249620563.6020165,249620563.60201746,155925260.20278195,24954266.576836366,134031278.26953766 
 01/29  24:00:00,200565683.6705817,200565683.6705827,97199131.75728288,15645560.66407668,104912987.04695597 
 01/30  01:00:00,163441272.4591944,163441272.45919538,29404584.0,11656115.239317864,79472635.82437395 
 01/30  02:00:00,152749776.2981657,152749776.2981667,29404584.0,11656115.239317864,72776509.29434878 
 01/30  03:00:00,142568427.9458214,142568427.9458224,29404584.0,11656115.239317864,69428446.02933633 
 01/30  04:00:00,136164081.56173664,136164081.56173763,29404584.0,11656115.239317864,67754414.39683005 
 01/30  05:00:00,142523873.08824527,142523873.0882463,29404584.0,16975375.727318894,71432354.39683005 
 01/30  06:00:00,167186162.47323716,167186162.47323817,29404584.0,26284081.875110786,87158392.55936149 
 01/30  07:00:00,203663260.16354188,203663260.16354287,238047029.3398222,27613896.938352972,120284500.51693058 
 01/30  08:00:00,213624333.05626276,213624333.05626372,281693277.7926991,26284081.875110786,146293383.9335011 
 01/30  09:00:00,210972693.91627106,210972693.91627204,276581050.80128914,18466671.234855436,149227177.34515285 
 01/30  10:00:00,216488642.84159693,216488642.8415979,260449066.91397947,15807040.873338813,139867388.97765952 
 01/30  11:00:00,231940726.48586518,231940726.48586625,218677857.56457394,15807040.873338813,128503692.2426721 
 01/30  12:00:00,242955599.94699135,242955599.94699246,174262719.2288304,15807040.873338813,130177723.87517832 
 01/30  13:00:00,162616001.40780488,162616001.4078059,151628809.43652835,15590730.651414875,128385990.86668785 
 01/30  14:00:00,154447467.15970892,154447467.1597099,141455027.59302613,15807040.873338813,123481597.34515285 
 01/30  15:00:00,229340676.4289759,229340676.4289769,111378992.23216987,15807040.873338813,121807565.71264665 
 01/30  16:00:00,161844114.43730605,161844114.43730706,141367361.97376645,19796486.53312959,126829660.61016576 
 01/30  17:00:00,273484980.3581136,273484980.35811454,145269991.9396041,29105192.44588942,161629800.20024115 
 01/30  18:00:00,263679081.8229044,263679081.82290542,217766596.25798866,35592787.787870474,204884491.0712216 
 01/30  19:00:00,293004098.9391485,293004098.93914944,258617725.24442345,44901493.93566237,204645835.6122203 
 01/30  20:00:00,280250947.3161406,280250947.31614155,231585736.31104892,51550569.72193773,185571734.18467608 
 01/30  21:00:00,350398799.48817813,350398799.48817927,220017887.46204197,51550569.72193773,178875607.65465096 
 01/30  22:00:00,319219272.39876634,319219272.3987673,178339545.9983862,38252418.149386905,164823601.124626 
 01/30  23:00:00,260662347.5134721,260662347.51347315,144377126.35984832,24954266.576836366,134031278.26953766 
 01/30  24:00:00,205398971.86528057,205398971.86528158,81647247.12465659,15645560.66407668,104912987.04695597 
 01/31  01:00:00,165099467.49426487,165099467.49426585,29404584.0,11656115.239317864,79472635.82437395 
 01/31  02:00:00,154434234.26983127,154434234.26983225,29404584.0,11656115.239317864,72776509.29434878 
 01/31  03:00:00,148210558.49241912,148210558.49242014,29404584.0,11656115.239317864,69428446.02933633 
 01/31  04:00:00,141505405.1199723,141505405.11997327,29404584.0,11656115.239317864,67754414.39683005 
 01/31  05:00:00,149290678.296244,149290678.29624504,29404584.0,16975375.727318894,71432354.39683005 
 01/31  06:00:00,175748323.14697304,175748323.14697397,29404584.0,26284081.875110786,87158392.55936149 
 01/31  07:00:00,210720189.4066989,210720189.40669996,238122310.19137684,27613896.938352972,120284500.51693058 
 01/31  08:00:00,216123049.6582759,216123049.65827692,298608281.8083943,26284081.875110786,146293383.9335011 
 01/31  09:00:00,223744344.5614073,223744344.5614082,280261805.48527163,18466671.234855436,149227177.34515285 
 01/31  10:00:00,237556899.58571368,237556899.58571476,242966670.89313158,15807040.873338813,139867388.97765952 
 01/31  11:00:00,231274448.80833876,231274448.80833983,220977220.87836835,15807040.873338813,128503692.2426721 
 01/31  12:00:00,161263871.45437017,161263871.45437115,178360156.4006633,15807040.873338813,130177723.87517832 
